Indicator,Unit,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Rubber and plastics products,Units,2165.266371,1936.000959,2428.624043,3266.774237,2905.144964,1783.8018,1741.835824,1553.784861,1196.870104,1003.12864,1509.663163,1499.214643,1542.165831,1626.231912,1925.902078,1857.927732,1702.35642,1376.427787,1613.053066,1433.824506,1330.111555,1426.121429,1503.889509,1153.188408
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Telecommunications,Units,370.8696931,379.0363049,350.2321776,303.7539802,316.9496741,293.9421455,272.9915501,281.7110644,239.5518148,208.8316419,190.5174184,167.5057243,149.0706556,155.5371502,166.6108597,172.9227277,164.89766,155.5583447,152.26925,171.4555137,157.9090253,158.8666801,155.1828869,154.9483135
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Textiles, textile products, leather and footwear",Units,379.0716804,393.6622915,375.5757647,371.020463,311.4075125,277.6236246,260.1712015,210.4231698,130.3123698,123.3317848,92.67481753,83.49118557,61.90453731,75.81125463,53.664261,45.80864705,55.22914126,56.8206177,27.36093625,39.61218215,37.35456641,36.34619849,39.25556694,37.75535199
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Warehousing and support activities for transportation,Units,238.928759,231.2451824,218.9088702,178.9454001,184.944733,178.9298175,166.8860545,166.5201066,150.2553397,131.2765122,118.78869,116.4187253,114.2993085,125.9506879,131.0734136,113.2832803,103.5982499,100.1092837,117.2965491,90.6615812,164.6598649,162.2885321,150.8148701,149.0124656
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Water supply; sewerage, waste management and remediation activities",Units,269.5320552,266.4507581,239.4888522,190.2664611,205.065872,204.5123726,193.8357385,204.6899841,193.5465878,176.5671443,162.7602933,155.3193216,146.2647715,155.5197137,155.2022558,135.1743395,131.446842,127.7414329,118.7216521,125.3643291,125.8299119,124.2224025,113.5893637,110.409197
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Water transport,Units,5068.515235,4776.669225,4220.824598,4578.396252,3878.326996,3561.597088,3934.225195,3268.538517,2620.78554,1681.927711,1795.127678,1686.946903,1905.425862,1771.907451,2309.440932,1692.570023,1488.701711,1202.228881,1422.17039,1558.105,1394.361662,1168.304668,1816.146559,1587.674665
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Wholesale and retail trade; repair of motor vehicles,Units,149.0899493,143.6444454,135.5429796,108.5821728,131.0311681,129.6187401,115.3623712,117.9482231,101.3711726,87.32590229,77.4629559,72.82525546,72.88533587,78.82734934,83.63984942,68.55961555,67.54443262,70.18609459,66.708384,79.33082599,70.72692563,68.66936662,66.29108577,67.77596218
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Wood and products of wood and cork,Units,1.995941585,2.621661478,2.247759265,2.353716518,2.781795927,3.110156073,3.293373732,4.635761589,4.739732902,5.543851868,4.924988635,4.705347871,5.668642103,5.413993998,5.156706583,4.713005175,4.709770071,4.975478001,6.550527583,22.82974308,5.520343488,5.470780172,5.222249211,5.055205138
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Accomodation and food services,Units,1134.645665,1034.176371,1016.411853,981.1938553,1092.028903,1300.635067,1125.430994,1357.481279,1200.860616,1071.350335,949.9213175,908.6282571,777.5143751,866.2612086,853.8050942,671.8255556,628.4870336,585.7227013,382.3727366,348.1634677,372.9064607,361.3877239,347.3908094,342.6405638
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Administrative and support services,Units,1736.322361,1687.582275,1499.493413,1332.054796,1182.343471,1010.873266,891.259311,804.1026773,656.4465236,579.1895053,468.189905,430.6241818,377.4353662,355.4229114,376.3899527,333.7028874,337.8139533,332.8833128,432.169612,426.467794,513.7795923,506.4337795,480.638716,471.8265233
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Agriculture, hunting, forestry",Units,396.9032774,382.5979705,383.5581053,379.6499175,402.3080962,435.262932,426.2001038,472.7735765,403.9007576,382.5555837,328.0828174,360.9615735,286.3068496,286.7134722,285.4571884,216.4380012,219.7636063,242.1711094,368.5501404,334.6390842,353.8925977,341.6075563,328.554425,323.7520305
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Air transport,Units,5854.875781,5727.052239,5258.240536,5227.913243,5102.388514,4965.709202,5004.27232,4714.108494,4193.68395,3758.357102,3600.823137,3509.992003,3162.743243,2973.797768,2982.369978,2522.786861,2386.325406,2344.212868,2162.257559,2155.410204,2321.391669,2265.967165,2127.998689,2132.531911
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Arts, entertainment and recreation",Units,1633.94237,1333.746646,1557.230119,1622.877651,1919.870713,1923.825837,1961.665076,1907.031105,1799.605765,1745.917743,1528.49131,1428.272759,1256.157604,1127.558162,1155.107557,957.3473258,870.2960844,396.5777681,449.3933252,427.1889993,508.6619209,459.9635802,418.9261885,411.142701
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Basic metals,Units,5371.734651,5327.833722,5426.217737,4818.332986,5098.159313,5107.161617,5118.230963,5088.974275,4153.086405,4163.798752,3702.454774,3376.698194,2835.653106,3144.135918,3747.316437,2997.390711,2679.587269,3274.890374,3091.91285,3543.112229,3832.864417,4226.198143,3682.899219,3850.123005
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Chemicals and pharmaceutical products,Units,1851.058702,1820.979973,1820.840858,1622.916025,1560.558827,1877.398005,1908.235639,1901.846841,1555.632946,1381.701119,1087.494328,1012.135729,834.9185646,746.701096,749.1453192,609.1580859,505.6353154,523.5116964,464.9299996,508.1555755,507.6204658,492.8950361,446.7997954,425.5345573
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Coke and refined petroleum products,Units,1827.735014,1653.464574,1719.247241,1884.603455,1745.836397,1554.099082,1677.286495,1491.774746,1466.714625,1195.56645,950.6580602,819.1054148,779.207235,584.0649119,623.5297647,466.323751,417.2931635,388.0026468,359.044173,397.8518765,609.1085025,672.3499178,567.1613925,504.9875497
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Computer, electronic and optical products",Units,3107.190855,3285.80742,3192.946191,3257.788484,3510.522918,3321.547617,3360.194279,3296.477685,2792.152856,2254.074834,1957.863716,1739.770731,1488.014438,1453.281934,1602.094198,1407.026156,1250.573214,1445.240992,1496.529043,1481.096426,1309.75713,1235.696339,1123.880932,1113.514593
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Construction,Units,1884.063178,1852.323824,1773.160515,1804.830611,1835.688619,1885.286731,1898.606824,1825.434548,1552.560841,1349.535678,1162.036535,1055.638811,901.100814,863.8083639,1000.153472,829.4346596,740.9880535,861.2405147,882.5578126,834.2100421,832.8368019,810.9918137,746.2754439,750.0858234
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Education,Units,663.3090949,603.7509559,482.3232918,275.8201735,266.7625464,309.2970333,295.5370799,316.6635312,320.4608182,355.3663153,278.7810867,304.4817125,278.4230956,227.8394487,197.47153,139.1255399,161.4983291,171.0055209,200.3263913,168.5472735,200.0410847,191.8345267,182.5146475,179.4996058
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Electrical equipment,Units,3278.715253,3442.792199,3376.059057,3320.388806,3625.983414,3522.518381,3571.104028,3538.998591,2980.858283,2507.666395,2093.24794,1869.262983,1583.510546,1536.253282,1762.603433,1488.18671,1325.928893,1597.195903,1605.999618,1599.097265,1649.282993,1621.582253,1469.962304,1489.152541
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Electricity, gas, steam and air conditioning supply",Units,21782.92883,22165.22003,20803.88787,21052.42122,20520.04072,20417.87762,20631.51195,19524.19228,17324.57112,14782.42379,13049.77342,11739.73712,10089.17588,9594.072729,10144.05267,8502.503464,7557.461511,8306.520209,8057.109377,8057.206065,8478.969425,8211.829611,7541.240772,7550.359451
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Fabricated metal products,Units,1331.67036,1375.477522,1660.777211,1551.340504,1801.22042,1848.333868,1998.229075,1897.1942,1629.408675,1795.090682,1518.244625,1307.916398,1091.867928,1126.557143,1315.313691,995.7495495,918.8404398,926.0752278,1048.021268,1274.917525,1242.417807,1225.433882,1092.487906,1139.154648
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Financial and insurance activities,Units,1448.827363,1540.211763,1393.978904,1347.938144,1306.555344,1409.00519,1199.031634,1031.249064,961.337515,1030.41537,785.5951366,625.2154176,524.0835681,435.923682,504.1423834,382.0038389,403.4410454,482.1414039,378.1781425,405.1854324,520.185364,517.0686517,494.8458258,510.5302142
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Fishing and aquaculture,Units,105.0224421,98.29394828,103.338565,107.428818,107.1235306,120.0433539,111.115671,116.5941956,100.1837688,75.83938279,82.00987441,77.12442529,66.18203116,75.16267312,86.12152584,88.30725222,84.4627612,71.43994161,79.93972443,78.06557426,75.5120595,77.28723804,79.42627532,79.65310079
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Food products, beverages and tobacco",Units,529.3379943,509.1521216,483.3299705,484.006519,542.6620612,600.6203018,573.8395011,617.1835419,528.0364562,485.6063837,428.5918336,422.2606839,374.4208828,389.8595662,393.0334516,305.3650557,307.9369628,287.6155411,416.1537507,356.8760121,384.6213849,374.0472415,359.6247827,352.4843137
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Human health and social work activities,Units,791.0473374,753.7525619,706.0491052,559.8609608,525.5238461,549.4332866,451.2935338,444.4894758,364.1962451,331.7527543,277.3699349,315.2841834,280.0899993,269.8552145,236.8044251,208.2828582,223.8463831,241.3269721,285.0276056,245.9338297,250.1680748,256.6742419,239.4888826,236.2153253
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,IT and other information services,Units,1385.965744,1345.329007,1132.363431,920.7564395,813.8667158,623.6837563,555.0967901,479.9362814,393.8775884,374.3449552,324.8038088,308.3694215,258.1597123,245.291301,241.8553105,220.3278872,237.1463028,235.5443879,287.5764693,252.9633183,260.7983658,247.8141895,232.1517417,229.3869703
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Land transport and transport via pipelines,Units,1703.35591,1652.164869,1495.894087,1559.474973,1545.322746,1525.912563,1539.240933,1414.308886,1225.91925,1114.678191,987.4100626,928.354296,885.6571335,862.5288739,950.3598187,819.8277347,752.4299734,739.3963313,710.6914711,804.6686574,913.2539961,890.8081384,818.8445151,777.9138144
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Machinery and equipment n.e.c.,Units,2414.972762,2492.533784,2623.99048,2583.70251,2795.967934,2755.589158,2918.697376,2745.725851,2340.394901,1949.235279,1718.455362,1513.838914,1291.649914,1203.94634,1416.870406,1145.366082,982.1547431,1123.180243,1204.816742,1227.034333,1370.604509,1339.080835,1204.891255,1210.118292
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Manufacturing nec; repair and installation of machinery and equipment,Units,3106.224297,2948.809578,3391.10777,4047.477009,3996.607501,2964.567139,3051.621726,2957.224366,2409.684411,2241.094784,2539.43259,2445.845086,2398.258822,2379.844762,2731.909325,2401.940929,2277.690653,1941.482037,2392.749698,2506.380872,2078.183914,2123.700745,2115.480049,1774.886213
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Mining and quarrying, energy producing products",Units,1203.319317,1167.517209,1179.904262,1304.149622,1414.157221,1386.143906,1458.66573,1210.553223,1111.013462,876.5071575,760.7508018,715.2748005,923.1471887,667.2882101,576.9515746,421.7800505,620.4034657,740.4238791,612.5336082,677.7549432,643.0039021,720.4602692,669.75814,672.5126806
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Mining and quarrying, non-energy producing products",Units,2312.087253,2477.654472,2315.468227,2319.744475,2335.1275,2571.08819,2818.186684,2405.718048,1813.486559,1582.243579,1309.495952,1066.841164,872.3799676,855.3727378,984.075419,758.077039,682.7763439,806.9046068,675.5472104,596.2505789,690.4625167,645.9164331,604.5025962,607.7079897
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Mining support service activities,Units,1271.864125,1131.863579,1008.420162,1042.494121,903.9188254,849.1020118,846.246335,749.0034251,668.3237967,547.9938626,416.4547612,388.8270276,317.1805695,297.1082579,372.2622551,279.5234203,229.3006662,237.2025135,205.1572219,237.8969963,354.8482597,328.5673877,292.5161869,286.2190745
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Motor vehicles, trailers and semi-trailers",Units,2810.105147,2903.317197,2937.830237,3021.533256,2976.378279,2924.520071,2994.697889,2821.622753,2439.846452,2134.142701,1832.817935,1694.193386,1517.429121,1493.554429,1643.767136,1369.259025,1120.421565,1518.311723,1292.277768,1722.160503,1500.723068,1535.951933,1425.453143,1420.866915
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Other non-metallic mineral products,Units,5128.514754,4646.817059,4719.173857,5953.743251,5466.263397,5905.71979,5988.673679,5681.104679,4914.679597,4337.76747,3771.41881,3284.705785,2835.31536,2448.395359,2620.377044,2125.443209,2038.533237,2296.457815,2701.488167,2382.066118,2287.758487,1944.799139,1739.040898,1685.214405
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Other service activities,Units,1029.18317,750.9749633,983.454244,1042.906742,1317.098693,1359.624175,1352.046581,1348.594614,1292.883722,1267.638552,1084.851262,1015.881122,884.2565661,782.3801423,791.4891509,655.0983544,595.3593935,626.0246602,607.8197754,592.310323,719.0360779,674.7463106,625.8539788,604.2995529
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Other transport equipment,Units,2102.162955,2199.440937,2175.749256,2322.164787,2101.731192,2297.111737,2376.779731,2196.555477,1791.880219,1172.316853,819.2260563,770.7482338,708.3628913,741.1657803,1110.685092,924.9792579,933.3333235,1183.788937,857.9250756,1424.212415,1243.881478,1156.746632,1064.103056,990.6118451
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Paper products and printing,Units,2306.770908,2552.957516,2564.950889,2656.871524,2282.286395,2198.135432,2246.277665,2115.509764,1831.961577,1653.340655,1399.341871,1210.359656,1122.79376,941.2149049,1122.087791,920.2332685,757.4513191,830.7936518,801.1421484,731.0782475,756.979596,720.7135455,692.6504413,662.2024639
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Pharmaceuticals, medicinal chemical and botanical products",Units,1743.322784,1713.296418,1709.423945,1520.828454,1369.00977,1719.168144,1587.841745,1585.860951,1282.686525,1141.563985,896.0023045,848.3149536,692.5717341,623.7687183,622.9220806,507.0320362,403.2444109,434.8517198,385.9111735,406.1694702,447.8628117,445.4323133,409.9789492,393.5508099
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Postal and courier activities,Units,519.9647804,516.3827567,497.031973,465.8666357,447.6490581,429.7506881,438.4666173,412.4513215,370.0209493,329.8495275,292.7713038,263.7198017,245.9829025,347.6921322,388.574538,344.6477844,495.6320647,498.989133,437.2807927,516.8837637,687.2053601,618.1063752,557.2347282,537.8603858
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Professional, scientific and technical activities",Units,1969.241868,1947.482415,1762.813644,1616.915334,1487.353707,1348.093643,1254.251882,1144.631997,991.4043391,898.4263772,756.0244351,679.9377377,600.1711164,566.1433059,598.8307529,510.7422698,504.129693,472.6789509,522.9136907,483.5876287,580.3104207,555.4937116,518.3621348,505.8393782
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Public administration and defence; compulsory social security,Units,324.6726392,334.8494511,255.4452242,222.1888898,322.0184032,288.3027904,225.2545303,265.5769421,338.6566559,364.3799756,368.2235767,433.8148074,393.8719828,302.8836129,184.9206363,220.7827219,249.3993123,223.1238332,205.710615,206.2637267,209.7554358,200.8905829,198.2600271,194.5298202
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Publishing, audiovisual and broadcasting activities",Units,1025.925887,1018.685651,997.597494,954.5426106,921.6114862,902.0814101,806.1221488,822.6694408,705.7929352,670.3028485,616.1303179,610.1409593,623.6979445,624.566206,665.404754,634.300296,631.8335007,632.1556209,607.0504762,574.6270384,669.5490361,625.1267168,564.3303839,552.4661675
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Real estate activities,Units,366.5983278,384.882637,383.0906715,362.417337,343.1732387,348.8676924,337.7235994,337.5250339,317.9686973,307.3059645,276.6729286,263.3835291,231.0674218,211.8651964,233.0951508,194.7374588,189.2052294,199.4871996,195.2823835,196.1973963,226.6728664,215.7375969,201.323066,198.577779
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Rubber and plastics products,Units,3196.023604,2796.512858,3450.157766,4468.604064,4216.463685,2865.299399,2707.823296,2513.45236,2023.215863,1786.9178,2246.514657,2170.077872,2119.788851,2198.152512,2608.597801,2419.058179,2358.713256,2092.232359,2253.500887,1965.94631,1899.490033,1984.470165,2023.337228,1651.636911
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Telecommunications,Units,3224.321409,3188.700289,2914.013609,2762.231972,2856.430121,2736.49675,2592.633015,2589.827259,2251.336778,1979.768412,1703.120176,1477.643482,1222.788551,1134.91054,1270.527162,1313.190962,1204.258651,1231.033987,1111.258148,1104.722804,1346.550953,1290.885764,1250.185277,1228.530538
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Textiles, textile products, leather and footwear",Units,932.3397974,906.9153926,910.7994531,980.4638472,1005.530834,1057.599443,1032.68173,1065.047703,879.341314,799.7588756,663.4009347,611.3943927,563.6114683,579.6834683,545.9016634,427.0159164,440.3259932,480.3224656,445.3358871,445.6859844,515.5879682,521.9514043,498.9900264,481.8342518
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Warehousing and support activities for transportation,Units,1856.239927,1701.435113,1596.728015,1503.982297,1536.462383,1555.592083,1478.581517,1414.300527,1313.884216,1195.12499,1012.212838,991.5275567,921.9337606,907.5965199,994.5558557,836.8661205,730.2309894,739.5590128,630.6830138,687.2166176,966.5256599,918.2145888,847.6869689,822.1912842
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,"Water supply; sewerage, waste management and remediation activities",Units,1273.745559,1183.653621,1046.789922,926.4596984,1021.117796,1048.195623,999.3421952,1030.925412,1019.499495,951.7874178,833.415545,789.7501447,720.1215067,680.0841605,719.3724983,607.2060789,583.0589179,562.5024365,524.028731,548.6957202,654.5081406,644.1373346,583.8151194,551.8981038
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Water transport,Units,7332.197678,6814.115979,6193.357677,6422.318776,5276.606795,5124.629274,5868.162071,4903.188711,3753.985309,2100.661117,2226.704799,2152.304619,2503.249987,2273.685072,3501.447271,2682.575442,2491.530238,2009.287477,2012.248912,2379.361503,2162.337287,1486.668356,2537.568296,2057.157102
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Wholesale and retail trade; repair of motor vehicles,Units,574.6872739,526.7333455,483.3785375,493.2695393,624.770409,666.7764622,573.7799125,568.4219641,496.0996323,458.892601,376.6642016,354.6597198,342.6272251,339.4592909,380.6298468,295.2261904,276.7264773,288.3810212,284.0465821,298.6826848,325.36749,311.068486,299.1798247,313.3004815
CO2 emissions multipliers,Metric Tons of CO2 Emissions per $1million USD of output,Wood and products of wood and cork,Units,205.0436317,203.8339443,202.4105129,202.5914007,220.9558532,261.2243509,277.9918386,368.7470905,338.5867746,404.5983345,333.8423724,322.2814504,324.7526216,305.6275535,317.5220394,256.1833178,256.0583322,250.9551149,360.269105,292.0014146,361.9129215,350.7012073,340.4349699,321.9045527
