Indicator,Unit,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO2 emissions,Millions of Metric tons of CO2,"Mining and quarrying, energy producing products",Units,6.065,6.085,7.835,8.583,10.639,10.754,11.542,11.347,10.778,10.472,10.704,10.75,20.153,11.794,9.384,7.024,17.485,14.853,17.21,18.887,16.664,19.903,20.742,22.584
CO2 emissions,Millions of Metric tons of CO2,"Mining and quarrying, non-energy producing products",Units,1.533,1.403,1.308,1.397,1.398,1.451,1.432,1.539,1.618,1.937,2.069,2.116,2.933,3.23,3.435,4.11,3.502,2.996,4.236,3.87,3.765,4.025,4.412,4.953
CO2 emissions,Millions of Metric tons of CO2,Mining support service activities,Units,1.534,1.228,1.229,1.219,1.276,1.37,1.412,1.57,1.593,1.445,1.393,1.632,1.753,1.854,2.28,2.193,2.047,2.013,1.29,1.485,1.979,1.992,1.929,2.206
CO2 emissions,Millions of Metric tons of CO2,"Motor vehicles, trailers and semi-trailers",Units,4.128,4.769,5.23,5.725,6.491,6.868,7.096,7.391,7.525,8.46,9.056,9.795,11.596,13.342,14.187,15.995,16.076,6.785,14.399,0.248,0.706,0.755,0.798,0.859
CO2 emissions,Millions of Metric tons of CO2,Other non-metallic mineral products,Units,31.361,30.916,31.403,39.92,42.555,49.508,51.391,52.207,52.583,55.306,56.904,59.981,66.845,62.927,68.471,67.546,78.877,87.986,93.443,103.104,88.232,80.043,81.67,84.94
CO2 emissions,Millions of Metric tons of CO2,Other service activities,Units,1.018,0.932,1.161,0.965,1.326,1.387,1.388,1.545,1.685,1.999,2.141,2.351,2.755,2.999,3.015,3.319,3.699,3.317,2.833,3.766,4.552,4.893,5.533,5.806
CO2 emissions,Millions of Metric tons of CO2,Other transport equipment,Units,0.879,1.023,1.078,1.197,1.234,1.477,1.529,1.571,1.474,1.197,0.986,1.09,1.291,1.641,2.623,2.854,3.795,1.85,3.293,0.067,0.182,0.161,0.185,0.188
CO2 emissions,Millions of Metric tons of CO2,Paper products and printing,Units,6.558,7.248,7.118,7.28,6.021,5.763,6.085,5.916,6.025,6.259,6.11,5.663,6.524,5.39,7.139,8.2,5.72,5.63,5.665,3.644,2.792,2.818,3.596,3.656
CO2 emissions,Millions of Metric tons of CO2,"Pharmaceuticals, medicinal chemical and botanical products",Units,5.194,5.309,5.639,4.792,4.402,6.992,7.042,7.657,6.808,7.478,6.655,7.376,6.839,7.092,6.409,6.586,6.454,6.229,5.575,5.891,7.226,7.455,7.483,7.702
CO2 emissions,Millions of Metric tons of CO2,Postal and courier activities,Units,0.311,0.346,0.388,0.335,0.327,0.321,0.36,0.323,0.349,0.354,0.363,0.321,0.346,0.557,0.642,0.595,0.999,0.981,0.905,1.237,1.506,1.581,1.664,1.727
CO2 emissions,Millions of Metric tons of CO2,"Professional, scientific and technical activities",Units,0.663,0.707,0.707,0.606,0.643,0.612,0.588,0.611,0.619,0.687,0.742,0.807,0.95,1.122,1.14,1.276,1.506,1.627,1.513,1.991,2.444,2.645,2.859,2.933
CO2 emissions,Millions of Metric tons of CO2,Public administration and defence; compulsory social security,Units,1.59,1.677,1.919,1.158,1.457,1.248,1.212,1.287,1.359,1.17,1.221,1.305,1.563,1.689,1.814,2.034,2.387,2.456,2.421,2.432,2.62,2.866,3.154,3.369
CO2 emissions,Millions of Metric tons of CO2,"Publishing, audiovisual and broadcasting activities",Units,0.28,0.302,0.352,0.241,0.242,0.238,0.235,0.231,0.247,0.227,0.235,0.24,0.312,0.382,0.38,0.465,0.582,0.526,0.514,0.728,0.759,0.825,0.86,0.918
CO2 emissions,Millions of Metric tons of CO2,Real estate activities,Units,3.367,3.55,3.81,2.679,3.061,2.989,2.991,3.246,3.447,3.552,3.844,4.165,5.014,5.627,6.036,6.615,7.517,7.35,7.836,8.309,9.376,9.389,9.9,10.472
CO2 emissions,Millions of Metric tons of CO2,Rubber and plastics products,Units,13.762,12.923,17.804,24.295,24.269,16.056,16.012,15.366,14.057,14.813,26.098,30.257,39.198,45.246,55.034,67.126,72.2,55.275,65.98,64.767,61.322,69.934,83.691,67.837
