Series,Variable,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Primary energy,Gas,Delayed Transition (Disorderly scenario),EJ/yr,3.3446,4.49,5.2271,9.8011,8.7057,7.7855,7.9876
Primary energy,Gas,Fragmented World,EJ/yr,3.3773,4.5447,5.3855,7.2466,7.4329,7.7407,7.1186
Primary energy,Gas,Low Demand,EJ/yr,3.3253,4.1957,3.8692,3.8313,4.4918,4.675,4.3755
Primary energy,Gas,Nationally Determined Contributions (NDCs),EJ/yr,3.3743,4.4236,5.3819,6.2057,6.0681,6.3529,7.2461
Primary energy,Gas,Net Zero 2050 (Orderly scenario),EJ/yr,3.4002,4.4995,4.4575,4.2951,4.4432,4.3421,5.4123
Primary energy,Gas,Below 2°C,EJ/yr,2.7778,3.8599,4.3748,4.2842,4.1387,3.8302,3.4435
Primary energy,Gas,Current Policies (Hot house world scenario),EJ/yr,2.7778,3.9431,4.9718,5.2937,5.4849,5.7727,5.9579
Primary energy,Gas,Delayed Transition (Disorderly scenario),EJ/yr,2.7778,3.9431,4.9718,5.067,4.3397,3.9416,2.9271
Primary energy,Gas,Fragmented World,EJ/yr,2.7778,3.9431,4.9718,5.1258,4.8588,4.7997,4.5196
Primary energy,Gas,Low Demand,EJ/yr,2.7778,3.6963,2.6683,2.3389,1.9824,1.3848,1.0286
Primary energy,Gas,Nationally Determined Contributions (NDCs),EJ/yr,2.7778,3.9456,4.624,4.958,4.8798,4.8044,4.9476
Primary energy,Gas,Net Zero 2050 (Orderly scenario),EJ/yr,2.7778,3.8487,4.0773,3.6349,2.99,1.6742,0.9787
Final energy,Gases,Below 2°C,EJ/yr,0.7681,1.2216,1.4884,1.8894,2.2381,2.3774,2.3128
Final energy,Gases,Current Policies (Hot house world scenario),EJ/yr,0.7681,1.1615,1.6706,2.2161,2.789,3.3199,3.7959
Final energy,Gases,Delayed Transition (Disorderly scenario),EJ/yr,0.7682,1.162,1.6712,1.9936,2.3898,2.6485,2.6582
Final energy,Gases,Fragmented World,EJ/yr,0.7681,1.1615,1.6706,2.1645,2.5276,2.8604,3.0751
Final energy,Gases,Low Demand,EJ/yr,0.7681,1.1448,1.3012,1.6422,1.9165,1.9578,1.8401
Final energy,Gases,Nationally Determined Contributions (NDCs),EJ/yr,0.7681,1.1778,1.6954,2.1778,2.7534,3.3069,3.7795
Final energy,Gases,Net Zero 2050 (Orderly scenario),EJ/yr,0.7681,1.2129,1.4253,1.779,1.989,1.9565,1.7591
Final energy,Gases,Below 2°C,EJ/yr,1.2719,1.6064,1.8799,1.8198,2.0439,2.5251,3.0783
Final energy,Gases,Current Policies (Hot house world scenario),EJ/yr,1.2252,1.522,1.6267,1.4614,1.3428,1.5078,1.7488
Final energy,Gases,Delayed Transition (Disorderly scenario),EJ/yr,1.2155,1.5077,1.6074,2.1735,2.7854,4.054,4.7728
Final energy,Gases,Fragmented World,EJ/yr,1.2507,1.5789,1.7338,1.5133,1.804,1.5831,1.8694
Final energy,Gases,Low Demand,EJ/yr,1.191,1.4427,1.9129,2.993,3.4286,2.9831,2.0052
Final energy,Gases,Nationally Determined Contributions (NDCs),EJ/yr,1.2485,1.563,1.6933,1.6775,1.6642,2.0059,2.441
Final energy,Gases,Net Zero 2050 (Orderly scenario),EJ/yr,1.2927,1.6352,1.9057,3.2197,3.9977,4.4954,5.8735
Final energy,Gases,Below 2°C,EJ/yr,1.8219,2.4266,2.826,2.9402,2.9532,2.8381,2.607
Final energy,Gases,Current Policies (Hot house world scenario),EJ/yr,1.8219,2.4309,2.9726,3.4109,3.7872,4.081,4.2406
Final energy,Gases,Delayed Transition (Disorderly scenario),EJ/yr,1.8219,2.4309,2.9726,3.2782,3.0761,3.0154,2.3317
Final energy,Gases,Fragmented World,EJ/yr,1.8219,2.4309,2.9726,3.2922,3.2901,3.3322,3.1966
Final energy,Gases,Low Demand,EJ/yr,1.8219,2.3284,1.5719,1.53,1.4273,1.0629,0.8391
Final energy,Gases,Nationally Determined Contributions (NDCs),EJ/yr,1.8219,2.4732,2.9091,3.2964,3.4241,3.4829,3.6087
Final energy,Gases,Net Zero 2050 (Orderly scenario),EJ/yr,1.8219,2.3959,2.4058,2.4572,2.3449,1.365,0.8523
Primary energy,Geothermal,Below 2°C,EJ/yr,0.0255,0.0541,0.0539,0.0534,0.0539,0.0545,0.0547
Primary energy,Geothermal,Current Policies (Hot house world scenario),EJ/yr,0.0257,0.0547,0.0541,0.0537,0.0544,0.0548,0.0549
Primary energy,Geothermal,Delayed Transition (Disorderly scenario),EJ/yr,0.0254,0.0545,0.0538,0.0534,0.0539,0.0543,0.0544
Primary energy,Geothermal,Fragmented World,EJ/yr,0.0257,0.0547,0.0541,0.0536,0.0545,0.0548,0.0548
Primary energy,Geothermal,Low Demand,EJ/yr,0.0255,0.0542,0.0539,0.0531,0.0537,0.0543,0.0546
Primary energy,Geothermal,Nationally Determined Contributions (NDCs),EJ/yr,0.0257,0.0547,0.054,0.0535,0.0545,0.0548,0.0549
Primary energy,Geothermal,Net Zero 2050 (Orderly scenario),EJ/yr,0.0255,0.0541,0.0539,0.0531,0.0541,0.0545,0.0547
Primary energy,Geothermal,Below 2°C,EJ/yr,0.0078,0.0131,0.0297,0.0756,0.169,0.3278,0.5591
Primary energy,Geothermal,Current Policies (Hot house world scenario),EJ/yr,0.0078,0.01,0.01,0.01,0.01,0.01,0.01
Primary energy,Geothermal,Delayed Transition (Disorderly scenario),EJ/yr,0.0078,0.01,0.01,0.0172,0.0784,0.2564,0.5961
Primary energy,Geothermal,Fragmented World,EJ/yr,0.0078,0.01,0.01,0.0153,0.0529,0.1538,0.3496
Primary energy,Geothermal,Low Demand,EJ/yr,0.0078,0.0113,0.0364,0.1001,0.2307,0.4517,0.7636
Primary energy,Geothermal,Nationally Determined Contributions (NDCs),EJ/yr,0.0078,0.01,0.0139,0.0276,0.0599,0.1221,0.231
Primary energy,Geothermal,Net Zero 2050 (Orderly scenario),EJ/yr,0.0078,0.0145,0.0507,0.1641,0.4083,0.8081,1.3281
Final energy,Heat,Below 2°C,EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Current Policies (Hot house world scenario),EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Fragmented World,EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Low Demand,EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Net Zero 2050 (Orderly scenario),EJ/yr,0,0,0,0,0,0,0
Final energy,Heat,Below 2°C,EJ/yr,0.0362,0.0849,0.1602,0.2812,0.4762,0.7746,1.238
Final energy,Heat,Current Policies (Hot house world scenario),EJ/yr,0.0363,0.0846,0.1601,0.2817,0.4732,0.7643,1.2124
Final energy,Heat,Delayed Transition (Disorderly scenario),EJ/yr,0.0362,0.0845,0.1596,0.2809,0.4773,0.7762,1.2429
Final energy,Heat,Fragmented World,EJ/yr,0.0361,0.0842,0.1593,0.2787,0.4742,0.7661,1.2199
Final energy,Heat,Low Demand,EJ/yr,0.0364,0.0854,0.1583,0.2839,0.4792,0.6855,0.7584
Final energy,Heat,Nationally Determined Contributions (NDCs),EJ/yr,0.0361,0.0845,0.1603,0.2813,0.4729,0.7626,1.2071
Final energy,Heat,Net Zero 2050 (Orderly scenario),EJ/yr,0.0363,0.0854,0.1603,0.2877,0.4858,0.7014,1.1004
Final energy,Heat,Below 2°C,EJ/yr,0.0271,0.0774,0.1208,0.1584,0.217,0.3357,0.5188
Final energy,Heat,Current Policies (Hot house world scenario),EJ/yr,0.0271,0.0905,0.1609,0.23,0.3287,0.4668,0.6229
Final energy,Heat,Delayed Transition (Disorderly scenario),EJ/yr,0.0271,0.0905,0.1609,0.2011,0.2046,0.3133,0.5689
Final energy,Heat,Fragmented World,EJ/yr,0.0271,0.0905,0.1609,0.2102,0.24,0.3031,0.4271
Final energy,Heat,Low Demand,EJ/yr,0.0271,0.0703,0.0979,0.1372,0.2374,0.4199,0.6844
Final energy,Heat,Nationally Determined Contributions (NDCs),EJ/yr,0.0271,0.082,0.1335,0.2038,0.2722,0.346,0.4449
Final energy,Heat,Net Zero 2050 (Orderly scenario),EJ/yr,0.0271,0.072,0.1084,0.1924,0.3938,0.7372,1.19
Primary energy,Hydro,Below 2°C,EJ/yr,0.6285,0.6567,0.6925,0.7209,0.7626,0.8025,0.8351
Primary energy,Hydro,Current Policies (Hot house world scenario),EJ/yr,0.6285,0.6606,0.6907,0.7226,0.7658,0.8036,0.8367
Primary energy,Hydro,Delayed Transition (Disorderly scenario),EJ/yr,0.629,0.6609,0.6908,0.7211,0.7621,0.8001,0.8313
Primary energy,Hydro,Fragmented World,EJ/yr,0.6285,0.6605,0.6905,0.7205,0.7673,0.8038,0.835
Primary energy,Hydro,Low Demand,EJ/yr,0.6285,0.6573,0.6919,0.7177,0.7589,0.7992,0.835
Primary energy,Hydro,Nationally Determined Contributions (NDCs),EJ/yr,0.6285,0.6604,0.6897,0.7196,0.7669,0.8038,0.8361
Primary energy,Hydro,Net Zero 2050 (Orderly scenario),EJ/yr,0.6285,0.6562,0.6915,0.7174,0.7643,0.8014,0.8353
Primary energy,Hydro,Below 2°C,EJ/yr,0.6456,0.6294,0.7524,0.9123,1.0857,1.3094,1.6155
Primary energy,Hydro,Current Policies (Hot house world scenario),EJ/yr,0.6269,0.6241,0.6434,0.6541,0.6343,0.6522,0.6437
Primary energy,Hydro,Delayed Transition (Disorderly scenario),EJ/yr,0.6266,0.6233,0.6421,0.8354,0.9511,1.1174,1.367
Primary energy,Hydro,Fragmented World,EJ/yr,0.6447,0.6329,0.6451,0.7952,0.9303,1.1414,1.4126
Primary energy,Hydro,Low Demand,EJ/yr,0.638,0.6321,0.6872,0.8295,0.9961,1.2165,1.5228
Primary energy,Hydro,Nationally Determined Contributions (NDCs),EJ/yr,0.6449,0.6278,0.648,0.7553,0.8609,1.0506,1.3269
Primary energy,Hydro,Net Zero 2050 (Orderly scenario),EJ/yr,0.6457,0.6302,0.7239,0.8633,1.0126,1.2299,1.53
Primary energy,Hydro,Below 2°C,EJ/yr,0.7151,0.8223,0.908,0.9704,1.0116,1.0359,1.0479
Primary energy,Hydro,Current Policies (Hot house world scenario),EJ/yr,0.7151,0.8276,0.9183,0.9815,1.0218,1.0445,1.0543
Primary energy,Hydro,Delayed Transition (Disorderly scenario),EJ/yr,0.7151,0.8276,0.9183,0.9823,1.0238,1.0466,1.0552
Primary energy,Hydro,Fragmented World,EJ/yr,0.7151,0.8276,0.9183,0.9792,1.0195,1.0432,1.054
Primary energy,Hydro,Low Demand,EJ/yr,0.7151,0.8197,0.9083,0.9733,1.0152,1.0397,1.0521
Primary energy,Hydro,Nationally Determined Contributions (NDCs),EJ/yr,0.7151,0.8251,0.9128,0.9745,1.0128,1.0327,1.0401
Primary energy,Hydro,Net Zero 2050 (Orderly scenario),EJ/yr,0.7151,0.8328,0.9438,1.0226,1.0581,1.0681,1.0687
Final energy,Hydrogen,Below 2°C,EJ/yr,0,0.1295,0.3325,0.6181,0.9082,1.1998,1.4485
Final energy,Hydrogen,Current Policies (Hot house world scenario),EJ/yr,0,0.1168,0.3699,0.6655,0.9329,1.1579,1.35
Final energy,Hydrogen,Delayed Transition (Disorderly scenario),EJ/yr,0,0.1168,0.3699,0.6213,0.8755,1.1278,1.3866
Final energy,Hydrogen,Fragmented World,EJ/yr,0,0.1168,0.3699,0.6491,0.8715,1.0731,1.2919
Final energy,Hydrogen,Low Demand,EJ/yr,0,0.1097,0.2746,0.5435,0.8481,1.1595,1.4497
Final energy,Hydrogen,Nationally Determined Contributions (NDCs),EJ/yr,0,0.1198,0.3794,0.6666,0.9192,1.1267,1.2943
Final energy,Hydrogen,Net Zero 2050 (Orderly scenario),EJ/yr,0,0.1305,0.3361,0.6915,1.055,1.3539,1.7122
Final energy,Hydrogen,Below 2°C,EJ/yr,0,0,0.0005,0.0309,0.0304,0.131,0.3404
Final energy,Hydrogen,Current Policies (Hot house world scenario),EJ/yr,0,0,0,0.024,0.0237,0.024,0.0235
Final energy,Hydrogen,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0,0.0226,0.1602,0.3654,0.7359
Final energy,Hydrogen,Fragmented World,EJ/yr,0,0,0,0.0246,0.024,0.0231,0.0259
Final energy,Hydrogen,Low Demand,EJ/yr,0,0,0.0004,0.1845,0.5398,1.1808,1.5872
Final energy,Hydrogen,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0,0.0358,0.0355,0.0351,0.0326
Final energy,Hydrogen,Net Zero 2050 (Orderly scenario),EJ/yr,0,0,0.0005,0.1034,0.3104,0.6006,0.9228
Final energy,Hydrogen,Below 2°C,EJ/yr,0.0141,0.1027,0.2486,0.445,0.8035,1.532,2.7658
Final energy,Hydrogen,Current Policies (Hot house world scenario),EJ/yr,0.0141,0.1084,0.263,0.4525,0.7106,1.0228,1.3644
Final energy,Hydrogen,Delayed Transition (Disorderly scenario),EJ/yr,0.0141,0.1084,0.263,0.4399,0.5844,1.5049,3.3965
Final energy,Hydrogen,Fragmented World,EJ/yr,0.0141,0.1084,0.263,0.4294,0.5592,0.9306,1.9046
Final energy,Hydrogen,Low Demand,EJ/yr,0.0141,0.0882,0.1424,0.2094,0.2909,0.5847,1.1098
Final energy,Hydrogen,Nationally Determined Contributions (NDCs),EJ/yr,0.0141,0.1079,0.2625,0.4363,0.6748,1.1475,1.9542
Final energy,Hydrogen,Net Zero 2050 (Orderly scenario),EJ/yr,0.0141,0.099,0.2817,0.5008,1.2684,2.6647,4.2117
Emissions and CCS,Industrial processes CCS,Below 2°C,Mt CO2/yr,0,5.3616,27.9641,76.7375,134.0492,187.5101,224.4312
Emissions and CCS,Industrial processes CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,6.1645,14.9881,26.0859,37.7109,50.6166,62.6456
Emissions and CCS,Industrial processes CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,6.1611,14.9876,43.0144,93.6516,150.4378,201.5561
Emissions and CCS,Industrial processes CCS,Fragmented World,Mt CO2/yr,0,6.1648,14.9883,35.3193,70.6416,117.9207,168.4562
Emissions and CCS,Industrial processes CCS,Low Demand,Mt CO2/yr,0,3.9124,21.0834,67.1113,126.7038,178.8693,213.2391
Emissions and CCS,Industrial processes CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,5.8538,14.9554,29.0696,45.115,64.7191,85.5127
Emissions and CCS,Industrial processes CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,6.009,33.6,99.3073,167.8263,216.5534,242.2142
Emissions and CCS,Industrial processes CCS,Below 2°C,Mt CO2/yr,0,0,0,0,11.9067,11.6425,11.2417
Emissions and CCS,Industrial processes CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0,0,18.7173
Emissions and CCS,Industrial processes CCS,Fragmented World,Mt CO2/yr,0,0,0,0,67.9614,66.3397,64.5019
Emissions and CCS,Industrial processes CCS,Low Demand,Mt CO2/yr,0,0,56.2365,91.5698,129.8464,137.3858,146.802
Emissions and CCS,Industrial processes CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,49.5627,43.6058,60.7235,122.6347,241.1207
Emissions and CCS,Industrial processes CCS,Below 2°C,Mt CO2/yr,0,0,0,0,0,0,15.1515
Emissions and CCS,Industrial processes CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0,11.8905,24.6987
Emissions and CCS,Industrial processes CCS,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,Low Demand,Mt CO2/yr,0,0,0,0,10.5685,23.5142,40.2111
Emissions and CCS,Industrial processes CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0,11.7399,22.8085,35.4775,47.0769
Final energy,Liquids,Below 2°C,EJ/yr,7.2613,9.6491,10.1386,10.3587,10.1173,9.1407,7.5171
Final energy,Liquids,Current Policies (Hot house world scenario),EJ/yr,7.2613,9.2933,11.3744,12.4246,13.2307,14.0656,15.0335
Final energy,Liquids,Delayed Transition (Disorderly scenario),EJ/yr,7.2631,9.2965,11.3771,10.9786,10.8751,10.5644,9.3338
Final energy,Liquids,Fragmented World,EJ/yr,7.2613,9.2933,11.3744,12.0151,11.7353,11.7337,11.6456
Final energy,Liquids,Low Demand,EJ/yr,7.2613,9.3705,9.3853,9.5298,8.8392,6.661,4.9354
Final energy,Liquids,Nationally Determined Contributions (NDCs),EJ/yr,7.2613,9.4044,11.5499,12.2293,12.9605,13.7826,14.5486
Final energy,Liquids,Net Zero 2050 (Orderly scenario),EJ/yr,7.2613,9.5694,9.6642,9.2109,7.6902,5.356,3.8454
Final energy,Liquids,Below 2°C,EJ/yr,8.7008,11.5082,12.6888,13.4475,14.1747,12.8771,10.1331
Final energy,Liquids,Current Policies (Hot house world scenario),EJ/yr,8.7604,10.6241,11.5732,13.5459,15.2421,17.4277,18.5866
Final energy,Liquids,Delayed Transition (Disorderly scenario),EJ/yr,8.7695,10.6412,11.5943,12.2922,11.5139,8.7154,5.695
Final energy,Liquids,Fragmented World,EJ/yr,8.7043,10.5474,11.4637,14.1865,15.4323,15.7334,14.9041
Final energy,Liquids,Low Demand,EJ/yr,8.6052,11.2607,11.6828,10.3541,8.3018,5.5283,3.836
Final energy,Liquids,Nationally Determined Contributions (NDCs),EJ/yr,8.7241,11.5542,12.9803,15.1107,16.6196,18.1667,19.7223
Final energy,Liquids,Net Zero 2050 (Orderly scenario),EJ/yr,8.695,11.4914,9.3453,7.2232,5.604,4.196,4.0143
Final energy,Liquids,Below 2°C,EJ/yr,10.0302,13.5769,16.8924,18.2911,18.1981,17.0783,15.4918
Final energy,Liquids,Current Policies (Hot house world scenario),EJ/yr,10.0302,13.2257,16.6142,19.1335,20.8269,21.6645,22.7923
Final energy,Liquids,Delayed Transition (Disorderly scenario),EJ/yr,10.0302,13.2257,16.6142,18.3239,17.398,15.9925,13.4705
Final energy,Liquids,Fragmented World,EJ/yr,10.0302,13.2257,16.6142,19.7697,19.8283,19.0588,17.0705
Final energy,Liquids,Low Demand,EJ/yr,10.0302,12.7387,13.5408,13.6081,12.7588,10.8041,8.0263
Final energy,Liquids,Nationally Determined Contributions (NDCs),EJ/yr,10.0302,13.1717,16.153,18.6557,20.4607,21.3051,20.9968
Final energy,Liquids,Net Zero 2050 (Orderly scenario),EJ/yr,10.0302,12.9864,15.4465,15.796,14.9512,11.6635,7.4462
Emissions and CCS,LULUCF CO2 emissions,Below 2°C,Mt CO2/yr,268.2218,279.8501,291.4784,303.1068,314.7351,326.3634,337.9918
Emissions and CCS,LULUCF CO2 emissions,Current Policies (Hot house world scenario),Mt CO2/yr,268.2218,274.6696,281.1175,287.5653,294.0132,300.461,306.9089
Emissions and CCS,LULUCF CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2/yr,268.2218,274.6696,281.1175,296.211,311.3046,326.3982,341.4918
Emissions and CCS,LULUCF CO2 emissions,Fragmented World,Mt CO2/yr,268.2218,274.6696,281.1175,290.8735,300.6296,310.3857,320.1418
Emissions and CCS,LULUCF CO2 emissions,Low Demand,Mt CO2/yr,268.2218,280.5168,292.8118,305.1068,317.4018,329.6968,341.9918
Emissions and CCS,LULUCF CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2/yr,268.2218,275.7488,283.2758,290.8028,298.3298,305.8568,313.3838
Emissions and CCS,LULUCF CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2/yr,268.2218,280.9334,293.6451,306.3568,319.0684,331.7801,344.4918
Emissions and CCS,LULUCF CO2 emissions,Below 2°C,Mt CO2/yr,149.8215,115.239,86.3223,67.2709,49.1738,51.6353,54.5962
Emissions and CCS,LULUCF CO2 emissions,Current Policies (Hot house world scenario),Mt CO2/yr,149.8215,105.6771,70.3422,39.529,9.9781,7.8573,4.9646
Emissions and CCS,LULUCF CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2/yr,149.8215,113.6268,86.2416,63.7926,43.8393,47.9692,50.9412
Emissions and CCS,LULUCF CO2 emissions,Fragmented World,Mt CO2/yr,149.8215,110.8444,80.6768,53.3473,28.0833,21.0291,13.8299
Emissions and CCS,LULUCF CO2 emissions,Low Demand,Mt CO2/yr,149.8215,122.7912,100.6408,95.8745,91.7892,86.4868,81.6768
Emissions and CCS,LULUCF CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2/yr,149.8215,112.4566,83.1718,58.8138,35.1417,25.8829,17.162
Emissions and CCS,LULUCF CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2/yr,149.8215,122.7912,98.5043,86.7268,72.3871,63.4845,58.8288
Emissions and CCS,LULUCF CO2 emissions,Below 2°C,Mt CO2/yr,240.5693,248.1649,241.4233,224.4168,208.1319,201.2708,205.2724
Emissions and CCS,LULUCF CO2 emissions,Current Policies (Hot house world scenario),Mt CO2/yr,240.5693,227.8558,226.4031,225.6389,226.6557,230.8072,238.3222
Emissions and CCS,LULUCF CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2/yr,240.5693,227.8558,226.4031,224.3214,208.1436,200.3998,197.6574
Emissions and CCS,LULUCF CO2 emissions,Fragmented World,Mt CO2/yr,240.5693,227.8558,226.4031,224.0554,208.0195,200.6309,198.5799
Emissions and CCS,LULUCF CO2 emissions,Low Demand,Mt CO2/yr,240.5693,237.9711,229.1316,217.9259,211.27,210.3015,211.824
Emissions and CCS,LULUCF CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2/yr,240.5693,248.2181,241.4464,225.0286,213.1268,217.1806,230.3578
Emissions and CCS,LULUCF CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2/yr,240.5693,248.3133,241.4789,224.4214,208.4015,200.6481,197.5125
Primary energy,Nuclear,Below 2°C,EJ/yr,0.1259,0.1253,0.1458,0.1735,0.2028,0.2434,0.2848
Primary energy,Nuclear,Current Policies (Hot house world scenario),EJ/yr,0.1259,0.1256,0.1276,0.1271,0.123,0.1138,0.1024
Primary energy,Nuclear,Delayed Transition (Disorderly scenario),EJ/yr,0.126,0.1259,0.1278,0.1418,0.1643,0.1954,0.2474
Primary energy,Nuclear,Fragmented World,EJ/yr,0.1259,0.1258,0.1277,0.1338,0.1425,0.1531,0.1753
Primary energy,Nuclear,Low Demand,EJ/yr,0.1259,0.1231,0.1349,0.1602,0.1996,0.262,0.308
Primary energy,Nuclear,Nationally Determined Contributions (NDCs),EJ/yr,0.1259,0.1254,0.128,0.1283,0.1259,0.1186,0.1095
Primary energy,Nuclear,Net Zero 2050 (Orderly scenario),EJ/yr,0.1259,0.126,0.1582,0.2083,0.2724,0.3475,0.4344
Primary energy,Nuclear,Below 2°C,EJ/yr,0.1738,0.1582,0.362,0.5983,0.8959,1.2613,1.7456
Primary energy,Nuclear,Current Policies (Hot house world scenario),EJ/yr,0.1754,0.1647,0.16,0.1488,0.1171,0.0985,0.0724
Primary energy,Nuclear,Delayed Transition (Disorderly scenario),EJ/yr,0.1728,0.1598,0.1534,0.3458,0.5491,0.7928,1.1231
Primary energy,Nuclear,Fragmented World,EJ/yr,0.1727,0.1575,0.1495,0.1467,0.1231,0.2668,0.4548
Primary energy,Nuclear,Low Demand,EJ/yr,0.1711,0.1568,0.3299,0.5369,0.8137,0.7619,0.7082
Primary energy,Nuclear,Nationally Determined Contributions (NDCs),EJ/yr,0.1739,0.1582,0.1528,0.1427,0.1133,0.093,0.067
Primary energy,Nuclear,Net Zero 2050 (Orderly scenario),EJ/yr,0.1723,0.1562,0.3702,0.6362,0.9215,1.3048,1.817
Primary energy,Nuclear,Below 2°C,EJ/yr,0.2471,0.5448,1.1004,1.8474,2.2802,2.5116,2.6183
Primary energy,Nuclear,Current Policies (Hot house world scenario),EJ/yr,0.2471,0.5476,1.1044,1.8474,2.3466,2.6631,2.8391
Primary energy,Nuclear,Delayed Transition (Disorderly scenario),EJ/yr,0.2471,0.5476,1.1044,1.8474,2.3036,2.5598,2.6804
Primary energy,Nuclear,Fragmented World,EJ/yr,0.2471,0.5476,1.1044,1.8474,2.3513,2.6705,2.8462
Primary energy,Nuclear,Low Demand,EJ/yr,0.2471,0.5428,1.1039,1.8474,2.2413,2.4353,2.5158
Primary energy,Nuclear,Nationally Determined Contributions (NDCs),EJ/yr,0.2471,0.5471,1.1043,1.8474,2.2724,2.4905,2.5833
Primary energy,Nuclear,Net Zero 2050 (Orderly scenario),EJ/yr,0.2471,0.5489,1.1155,1.8474,2.323,2.5783,2.6978
Primary energy,Oil,Below 2°C,EJ/yr,11.0011,14.3824,14.7345,14.9204,14.4016,12.8442,10.7018
Primary energy,Oil,Current Policies (Hot house world scenario),EJ/yr,11.0011,13.6213,15.8825,16.8563,17.3966,17.8696,18.429
Primary energy,Oil,Delayed Transition (Disorderly scenario),EJ/yr,11.0021,13.6241,15.8837,15.3266,15.2353,14.5934,12.7487
Primary energy,Oil,Fragmented World,EJ/yr,11.0011,13.621,15.8819,16.5088,16.0269,15.8727,15.3948
Primary energy,Oil,Low Demand,EJ/yr,11.0011,13.8401,13.5353,13.7746,12.768,9.8603,7.7642
Primary energy,Oil,Nationally Determined Contributions (NDCs),EJ/yr,11.0011,13.87,16.3856,16.9787,17.4461,17.9602,18.3433
Primary energy,Oil,Net Zero 2050 (Orderly scenario),EJ/yr,11.0011,14.2927,14.3032,13.5978,11.3819,8.523,6.7527
Primary energy,Oil,Below 2°C,EJ/yr,10.9105,13.463,14.4765,15.053,15.6488,13.6747,10.5625
Primary energy,Oil,Current Policies (Hot house world scenario),EJ/yr,11.0214,12.0472,11.7136,13.8079,15.5678,17.6948,18.7322
Primary energy,Oil,Delayed Transition (Disorderly scenario),EJ/yr,11.022,12.0576,11.7268,12.0647,11.3585,8.1051,5.2304
Primary energy,Oil,Fragmented World,EJ/yr,10.9684,11.9202,11.5555,14.611,16.0166,16.1863,15.1758
Primary energy,Oil,Low Demand,EJ/yr,10.8443,13.368,12.7873,9.9777,7.8563,4.6441,2.84
Primary energy,Oil,Nationally Determined Contributions (NDCs),EJ/yr,11.018,13.6865,15.0039,17.0631,18.5593,19.7652,20.8498
Primary energy,Oil,Net Zero 2050 (Orderly scenario),EJ/yr,10.9527,13.5332,10.0508,6.7219,4.6201,2.7357,2.133
Primary energy,Oil,Below 2°C,EJ/yr,13.4651,17.526,21.029,22.0363,21.2607,19.3437,17.0107
Primary energy,Oil,Current Policies (Hot house world scenario),EJ/yr,13.4651,17.0659,20.5655,22.5414,22.8679,21.2212,18.7608
Primary energy,Oil,Delayed Transition (Disorderly scenario),EJ/yr,13.4651,17.0659,20.5655,21.6207,20.0664,18.0495,14.7609
Primary energy,Oil,Fragmented World,EJ/yr,13.4651,17.0659,20.5655,23.315,22.6599,20.7306,16.7567
Primary energy,Oil,Low Demand,EJ/yr,13.4651,16.4555,16.8782,16.3947,14.8508,12.095,8.5477
Primary energy,Oil,Nationally Determined Contributions (NDCs),EJ/yr,13.4651,17.0095,20.1129,22.4594,23.8737,24.1024,23.0342
Primary energy,Oil,Net Zero 2050 (Orderly scenario),EJ/yr,13.4651,16.7747,19.2519,19.0356,17.4221,13.0844,7.4236
