Series,Variable,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Surface temperature,95th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.38847,26.61328,26.82554,27.10611,27.32627,27.47336,27.61397
Surface temperature,95th percentile,Fragmented World,Degree Celsius,26.35932,26.59131,26.80974,27.04723,27.27984,27.46962,27.66411
Surface temperature,95th percentile,Low Demand,Degree Celsius,26.38829,26.60839,26.83264,27.05929,27.23094,27.33449,27.3785
Surface temperature,95th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.35953,26.59664,26.82031,27.05537,27.28786,27.48376,27.69675
Surface temperature,95th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.38928,26.63317,26.88176,27.10791,27.26605,27.34926,27.3654
Surface temperature,95th percentile,Below 2°C,Degree Celsius,26.37216,26.62466,26.88053,27.11219,27.28375,27.39429,27.53436
Surface temperature,95th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.34384,26.59669,26.798,27.03112,27.27879,27.48192,27.70404
Surface temperature,95th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.372,26.61839,26.81391,27.10756,27.33311,27.4563,27.59887
Surface temperature,95th percentile,Fragmented World,Degree Celsius,26.34391,26.59626,26.79867,27.07044,27.31755,27.49337,27.66032
Surface temperature,95th percentile,Low Demand,Degree Celsius,26.37217,26.62661,26.92476,27.13932,27.26452,27.31773,27.37615
Surface temperature,95th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.34406,26.60007,26.8058,27.03525,27.27123,27.44469,27.62928
Surface temperature,95th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.37217,26.62585,26.89706,27.09403,27.19514,27.24466,27.30524
Surface temperature,95th percentile,Below 2°C,Degree Celsius,26.33954323,26.61526212,26.80984614,27.04387878,27.21955512,27.32187259,27.43543159
Surface temperature,95th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.33954323,26.58987265,26.77614862,27.02065717,27.25285805,27.46882753,27.71006077
Surface temperature,95th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.33954323,26.58987265,26.77614862,27.04089548,27.26005723,27.37619154,27.48313444
Surface temperature,95th percentile,Fragmented World,Degree Celsius,26.33954323,26.58987265,26.77614862,27.01741256,27.25112282,27.44377268,27.62889421
Surface temperature,95th percentile,Low Demand,Degree Celsius,26.33954323,26.59648594,26.78595396,26.95523285,27.0468348,27.04045872,27.05981572
Surface temperature,95th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.33954323,26.58757237,26.77942896,27.01650355,27.23399919,27.38609532,27.54797192
Surface temperature,95th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.33954323,26.61839907,26.81666154,27.0192397,27.12056243,27.1453214,27.19657261
Emissions and CCS,Bioenergy with CCS,Below 2°C,Mt CO2/yr,1.4834,1.3104,1.9067,7.658,22.4994,44.018,84.4775
Emissions and CCS,Bioenergy with CCS,Current Policies (Hot house world scenario),Mt CO2/yr,1.4834,1.4565,1.007,1.1425,1.3021,1.1263,0.9226
Emissions and CCS,Bioenergy with CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,1.4826,1.4555,1.0067,2.7455,5.7796,4.4857,10.172
Emissions and CCS,Bioenergy with CCS,Fragmented World,Mt CO2/yr,1.4833,1.4565,1.007,1.3914,4.094,6.7419,6.3418
Emissions and CCS,Bioenergy with CCS,Low Demand,Mt CO2/yr,1.4834,1.3654,1.9029,8.9891,18.1922,34.9788,170.6753
Emissions and CCS,Bioenergy with CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,1.4833,1.4289,0.2874,0.5193,0.7512,0.7284,0.8287
Emissions and CCS,Bioenergy with CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,1.4833,1.3249,2.3168,7.0358,24.8397,52.5647,203.1053
Emissions and CCS,Bioenergy with CCS,Below 2°C,Mt CO2/yr,0,0,2.9182,7.8063,10.3938,20.8023,35.9591
Emissions and CCS,Bioenergy with CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,2.9449,7.834,16.1145,24.7132
Emissions and CCS,Bioenergy with CCS,Fragmented World,Mt CO2/yr,0,0,0,2.9141,7.8133,15.857,29.1498
Emissions and CCS,Bioenergy with CCS,Low Demand,Mt CO2/yr,0,0,1.0569,10.5854,20.8113,41.6607,64.8458
Emissions and CCS,Bioenergy with CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,2.9645,8.1456,16.9124,29.0535,46.1521
Emissions and CCS,Bioenergy with CCS,Below 2°C,Mt CO2/yr,0,0,0,0.9451,11.081,26.313,29.1567
Emissions and CCS,Bioenergy with CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,1.0708,20.2284,57.8113,101.1006
Emissions and CCS,Bioenergy with CCS,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,Low Demand,Mt CO2/yr,0,0,0,14.1498,46.9277,93.7619,158.0257
Emissions and CCS,Bioenergy with CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0.0012,0.0003,0.0131,0.0321
Emissions and CCS,Bioenergy with CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,8.9151,33.1304,75.1644,154.7524,259.467
Primary energy,Biomass,Below 2°C,EJ/yr,9.6577,8.1824,7.5986,6.2008,4.6063,3.4318,2.941
Primary energy,Biomass,Current Policies (Hot house world scenario),EJ/yr,9.6578,8.3061,7.5427,7.0018,6.3497,5.6114,4.9759
Primary energy,Biomass,Delayed Transition (Disorderly scenario),EJ/yr,9.6592,8.3033,7.5386,6.555,4.4483,2.9413,1.9972
Primary energy,Biomass,Fragmented World,EJ/yr,9.6577,8.3058,7.5411,6.7789,5.4096,3.803,2.6559
Primary energy,Biomass,Low Demand,EJ/yr,9.6576,8.3254,8.2845,6.4104,4.2587,2.756,3.6481
Primary energy,Biomass,Nationally Determined Contributions (NDCs),EJ/yr,9.6577,8.3115,6.7446,5.7819,4.9862,4.2409,3.6448
Primary energy,Biomass,Net Zero 2050 (Orderly scenario),EJ/yr,9.6573,8.1225,6.7772,4.7609,3.2353,2.1991,3.5584
Primary energy,Biomass,Below 2°C,EJ/yr,10.706,10.3487,10.0409,9.9676,9.4787,9.1197,9.1232
Primary energy,Biomass,Current Policies (Hot house world scenario),EJ/yr,10.7522,10.8741,10.8279,10.0113,9.1471,7.7092,5.9404
Primary energy,Biomass,Delayed Transition (Disorderly scenario),EJ/yr,10.7515,10.8736,10.8271,10.9189,10.5415,10.1164,9.2003
Primary energy,Biomass,Fragmented World,EJ/yr,10.7116,10.8415,10.8,10.568,10.1576,9.1539,7.8142
Primary energy,Biomass,Low Demand,EJ/yr,10.7078,10.311,9.7418,8.1502,7.1308,6.67,6.3421
Primary energy,Biomass,Nationally Determined Contributions (NDCs),EJ/yr,10.7043,10.3426,9.7986,8.6946,7.9729,6.4363,5.2043
Primary energy,Biomass,Net Zero 2050 (Orderly scenario),EJ/yr,10.7063,10.3455,10.5483,11.3096,11.9267,11.3311,10.8937
Primary energy,Biomass,Below 2°C,EJ/yr,8.0879,7.2881,6.2896,5.2638,4.3912,4.1226,4.5102
Primary energy,Biomass,Current Policies (Hot house world scenario),EJ/yr,8.0879,7.2881,6.2847,5.2148,4.1237,3.1496,2.3487
Primary energy,Biomass,Delayed Transition (Disorderly scenario),EJ/yr,8.0879,7.2881,6.2847,5.29,4.7229,4.7667,4.3692
Primary energy,Biomass,Fragmented World,EJ/yr,8.0879,7.2881,6.2847,5.2561,4.241,3.4506,3.0107
Primary energy,Biomass,Low Demand,EJ/yr,8.0879,7.2618,6.2898,5.4438,5.0442,5.0293,4.9924
Primary energy,Biomass,Nationally Determined Contributions (NDCs),EJ/yr,8.0879,7.2854,6.2848,5.2175,4.1141,3.1205,2.3058
Primary energy,Biomass,Net Zero 2050 (Orderly scenario),EJ/yr,8.0879,7.3189,6.474,5.915,5.429,5.4147,6.124
Primary energy,Coal,Below 2°C,EJ/yr,17.5297,18.2448,14.2758,10.6939,8.3737,7.211,6.8984
Primary energy,Coal,Current Policies (Hot house world scenario),EJ/yr,17.5297,20.5275,22.5741,24.2121,26.095,27.4565,28.3406
